";Save this page as a text file; Select 'File', 'Save As' and in the 'Save as type' box select 'CSV (Comma delimited (*.csv)'  ",,,,,,,,,,,,,,
";Then, open the *.csv file with a text editor (such as notepad) and just copy this into the relevant areas of your levelfile and missphere files",,,,,,,,,,,,,,
;Do not change any of the coloured boxes as they all contain imported data from the listed sheets. You can change everything else.,,,,,,,,,,,,,,

";For 2 Player FFA, Levelname#.Levelfile changes are -",,,,,,,,,,,,,,
;,plyrNum,"raceName,",,"posx,","posy,",posz,"radius,","sphererotz,","contents,",ResourceUnits,,,,
MissionSphere,0,R1,Mothership,0.0,0.0,0.0,30000,0.0,Mothership_0.missphere,1000,,,,
MissionSphere,1,R2,Mothership,0.0,0.0,0.0,30000,0.0,Mothership_1.missphere,1000,,,,
MissionSphere,-1,?,ResourceSphere,0.0,0.0,0.0,40000,0.0,ResourceSphere_1.missphere,1000,,,,
,,,,,,,,,,,,,,
;player 1 details or mothership_0.missphere changes are -,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ships     ,0.0,52323.0,0.0,270.0,R1,Mothership,1,NULL_FORMATION|?|?,?,?,,,,
Ships     ,0.0,52323.0,0.0,270.0,R1,ResourceController,1,PARADE_FORMATION|?|?,?,?,,,,
Ships     ,0.0,52323.0,0.0,270.0,R1,ResourceCollector,2,PARADE_FORMATION|?|?,?,?,,,,
Ships     ,0.0,52323.0,0.0,270.0,R1,ResearchShip,4,PARADE_FORMATION|?|?,?,?,,,,
Ships     ,0.0,52323.0,0.0,270.0,R1,LightInterceptor,6,PARADE_FORMATION|?|?,?,?,,,,
Ships     ,0.0,52323.0,0.0,270.0,R1,StandardFrigate,3,PARADE_FORMATION|?|?,?,?,,,,
Ships     ,0.0,52323.0,0.0,270.0,R1,IonCannonFrigate,3,PARADE_FORMATION|?|?,?,?,,,,
,,,,,,,,,,,,,,
;player 2 details or mothership_1.missphere changes are -,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ships     ,0.0,-52323.0,0.0,90.0,R2,Mothership,1,NULL_FORMATION|?|?,?,?,,,,
Ships     ,0.0,-52323.0,0.0,90.0,R2,ResourceController,1,PARADE_FORMATION|?|?,?,?,,,,
Ships     ,0.0,-52323.0,0.0,90.0,R2,ResourceCollector,2,PARADE_FORMATION|?|?,?,?,,,,
Ships     ,0.0,-52323.0,0.0,90.0,R2,ResearchShip,4,PARADE_FORMATION|?|?,?,?,,,,
Ships     ,0.0,-52323.0,0.0,90.0,R2,LightInterceptor,6,PARADE_FORMATION|?|?,?,?,,,,
Ships     ,0.0,-52323.0,0.0,90.0,R2,StandardFrigate,3,PARADE_FORMATION|?|?,?,?,,,,
Ships     ,0.0,-52323.0,0.0,90.0,R2,IonCannonFrigate,3,PARADE_FORMATION|?|?,?,?,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
";For 3 Player FFA, Levelname#.Levelfile changes are -",,,,,,,,,,,,,,
;,plyrNum,"raceName,",,"posx,","posy,",posz,"radius,","sphererotz,","contents,",ResourceUnits
MissionSphere,0,R1,Mothership,0.0,0.0,0.0,30000,0.0,Mothership_0.missphere,1000
MissionSphere,1,R2,Mothership,0.0,0.0,0.0,30000,0.0,Mothership_1.missphere,1000
MissionSphere,2,R1,Mothership,0.0,0.0,0.0,30000,0.0,Mothership_2.missphere,1000
MissionSphere,-1,?,ResourceSphere,0.0,0.0,0.0,40000,0.0,ResourceSphere_1.missphere,1000

;player 1 details or mothership_0.missphere changes are -,,,,,,,,,,
,,,,,,,,,,
Ships     ,26162.0,45313.0,0.0,240.0,R1,Mothership,1,NULL_FORMATION|?|?,?,?
Ships     ,26162.0,45313.0,0.0,240.0,R1,ResourceController,1,PARADE_FORMATION|?|?,?,?
Ships     ,26162.0,45313.0,0.0,240.0,R1,ResourceCollector,2,PARADE_FORMATION|?|?,?,?
Ships     ,26162.0,45313.0,0.0,240.0,R1,ResearchShip,4,PARADE_FORMATION|?|?,?,?
Ships     ,26162.0,45313.0,0.0,240.0,R1,LightInterceptor,6,PARADE_FORMATION|?|?,?,?
Ships     ,26162.0,45313.0,0.0,240.0,R1,StandardFrigate,3,PARADE_FORMATION|?|?,?,?
Ships     ,26162.0,45313.0,0.0,240.0,R1,IonCannonFrigate,3,PARADE_FORMATION|?|?,?,?
,,,,,,,,,,
;player 2 details or mothership_1.missphere changes are -,,,,,,,,,,

Ships     ,-52323.0,0.0,0.0,360.0,R2,Mothership,1,NULL_FORMATION|?|?,?,?
Ships     ,-52323.0,0.0,0.0,360.0,R2,ResourceController,1,PARADE_FORMATION|?|?,?,?
Ships     ,-52323.0,0.0,0.0,360.0,R2,ResourceCollector,2,PARADE_FORMATION|?|?,?,?
Ships     ,-52323.0,0.0,0.0,360.0,R2,ResearchShip,4,PARADE_FORMATION|?|?,?,?
Ships     ,-52323.0,0.0,0.0,360.0,R2,LightInterceptor,6,PARADE_FORMATION|?|?,?,?
Ships     ,-52323.0,0.0,0.0,360.0,R2,StandardFrigate,3,PARADE_FORMATION|?|?,?,?
Ships     ,-52323.0,0.0,0.0,360.0,R2,IonCannonFrigate,3,PARADE_FORMATION|?|?,?,?
,,,,,,,,,,
;player 3 details or mothership_2.missphere changes are -,,,,,,,,,,

Ships     ,26162.0,-45313.0,0.0,120.0,R1,Mothership,1,NULL_FORMATION|?|?,?,?
Ships     ,26162.0,-45313.0,0.0,120.0,R1,ResourceController,1,PARADE_FORMATION|?|?,?,?
Ships     ,26162.0,-45313.0,0.0,120.0,R1,ResourceCollector,2,PARADE_FORMATION|?|?,?,?
Ships     ,26162.0,-45313.0,0.0,120.0,R1,ResearchShip,4,PARADE_FORMATION|?|?,?,?
Ships     ,26162.0,-45313.0,0.0,120.0,R1,LightInterceptor,6,PARADE_FORMATION|?|?,?,?
Ships     ,26162.0,-45313.0,0.0,120.0,R1,StandardFrigate,3,PARADE_FORMATION|?|?,?,?
Ships     ,26162.0,-45313.0,0.0,120.0,R1,IonCannonFrigate,3,PARADE_FORMATION|?|?,?,?
,,,,,,,,,,

";For 4 Player FFA, Levelname#.Levelfile changes are -",,,,,,,,,,
;,plyrNum,"raceName,",,"posx,","posy,",posz,"radius,","sphererotz,","contents,",ResourceUnits
MissionSphere,0,R1,Mothership,0.0,0.0,0.0,30000,0.0,Mothership_0.missphere,1000
MissionSphere,1,R2,Mothership,0.0,0.0,0.0,30000,0.0,Mothership_1.missphere,1000
MissionSphere,2,R1,Mothership,0.0,0.0,0.0,30000,0.0,Mothership_2.missphere,1000
MissionSphere,3,R2,Mothership,0.0,0.0,0.0,30000,0.0,Mothership_3.missphere,1000
MissionSphere,-1,?,ResourceSphere,0.0,0.0,0.0,40000,0.0,ResourceSphere_1.missphere,1000
,,,,,,,,,,
;player 1 details or mothership_0.missphere changes are -,,,,,,,,,,
,,,,,,,,,,
Ships     ,36998.0,36998.0,0.0,225.0,R1,Mothership,1,NULL_FORMATION|?|?,?,?
Ships     ,36998.0,36998.0,0.0,225.0,R1,ResourceController,1,PARADE_FORMATION|?|?,?,?
Ships     ,36998.0,36998.0,0.0,225.0,R1,ResourceCollector,2,PARADE_FORMATION|?|?,?,?
Ships     ,36998.0,36998.0,0.0,225.0,R1,ResearchShip,4,PARADE_FORMATION|?|?,?,?
Ships     ,36998.0,36998.0,0.0,225.0,R1,LightInterceptor,6,PARADE_FORMATION|?|?,?,?
Ships     ,36998.0,36998.0,0.0,225.0,R1,StandardFrigate,3,PARADE_FORMATION|?|?,?,?
Ships     ,36998.0,36998.0,0.0,225.0,R1,IonCannonFrigate,3,PARADE_FORMATION|?|?,?,?
,,,,,,,,,,
;player 2 details or mothership_1.missphere changes are -,,,,,,,,,,

Ships     ,-36998.0,36998.0,0.0,315.0,R2,Mothership,1,NULL_FORMATION|?|?,?,?
Ships     ,-36998.0,36998.0,0.0,315.0,R2,ResourceController,1,PARADE_FORMATION|?|?,?,?
Ships     ,-36998.0,36998.0,0.0,315.0,R2,ResourceCollector,2,PARADE_FORMATION|?|?,?,?
Ships     ,-36998.0,36998.0,0.0,315.0,R2,ResearchShip,4,PARADE_FORMATION|?|?,?,?
Ships     ,-36998.0,36998.0,0.0,315.0,R2,LightInterceptor,6,PARADE_FORMATION|?|?,?,?
Ships     ,-36998.0,36998.0,0.0,315.0,R2,StandardFrigate,3,PARADE_FORMATION|?|?,?,?
Ships     ,-36998.0,36998.0,0.0,315.0,R2,IonCannonFrigate,3,PARADE_FORMATION|?|?,?,?
,,,,,,,,,,
;player 3 details or mothership_2.missphere changes are -,,,,,,,,,,

Ships     ,-36998.0,-36998.0,0.0,45.0,R1,Mothership,1,NULL_FORMATION|?|?,?,?
Ships     ,-36998.0,-36998.0,0.0,45.0,R1,ResourceController,1,PARADE_FORMATION|?|?,?,?
Ships     ,-36998.0,-36998.0,0.0,45.0,R1,ResourceCollector,2,PARADE_FORMATION|?|?,?,?
Ships     ,-36998.0,-36998.0,0.0,45.0,R1,ResearchShip,4,PARADE_FORMATION|?|?,?,?
Ships     ,-36998.0,-36998.0,0.0,45.0,R1,LightInterceptor,6,PARADE_FORMATION|?|?,?,?
Ships     ,-36998.0,-36998.0,0.0,45.0,R1,StandardFrigate,3,PARADE_FORMATION|?|?,?,?
Ships     ,-36998.0,-36998.0,0.0,45.0,R1,IonCannonFrigate,3,PARADE_FORMATION|?|?,?,?
,,,,,,,,,,
;player 4 details or mothership_3.missphere changes are -,,,,,,,,,,

